nombre,definicion_procedencia,tipo_conceptual,universo_aplicacion,faltantes_universo,faltantes_pct_universo,categorias_o_valores,papel,motivo_inclusion_exclusion,transformacion_prevista,observaciones
tenencia_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,6,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
disp_elect_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
dotac_agua_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,6182,0.04366466778265138,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
drenaje_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
excusado_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,3,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_pared_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_pisos_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_techos_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,10,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tenencia_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,6,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tipo_viv_desc_vivienda,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
ing_cor_hogar_pc_oficial_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,78834,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingtrab_hogar_pc_oficial_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,61143,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
